cve_id,asset,cvss_score,epss_score,in_kev,risk_description
CVE-2025-24991,Windows Server 2022,5.5,0.01561,True,CVE CVE-2025-24991 affects Windows Server 2022. EPSS score 0.0156 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24991,Windows 10 Pro,5.5,0.01561,True,CVE CVE-2025-24991 affects Windows 10 Pro. EPSS score 0.0156 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-32706,Windows Server 2022,7.8,0.01119,True,CVE CVE-2025-32706 affects Windows Server 2022. EPSS score 0.0112 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-32706,Windows 10 Pro,7.8,0.01119,True,CVE CVE-2025-32706 affects Windows 10 Pro. EPSS score 0.0112 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-5281,Google Chrome,8.8,0.01066,True,CVE CVE-2026-5281 affects Google Chrome. EPSS score 0.0107 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-4947,Google Chrome,9.6,0.00969,True,CVE CVE-2024-4947 affects Google Chrome. EPSS score 0.0097 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-7971,Google Chrome,9.6,0.00962,True,CVE CVE-2024-7971 affects Google Chrome. EPSS score 0.0096 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-3910,Google Chrome,8.8,0.00943,True,CVE CVE-2026-3910 affects Google Chrome. EPSS score 0.0094 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-29824,Windows Server 2022,7.8,0.00922,True,CVE CVE-2025-29824 affects Windows Server 2022. EPSS score 0.0092 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-29824,Windows 10 Pro,7.8,0.00922,True,CVE CVE-2025-29824 affects Windows 10 Pro. EPSS score 0.0092 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-47827,Windows Server 2022,4.6,0.00916,True,CVE CVE-2025-47827 affects Windows Server 2022. EPSS score 0.0092 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-47827,Windows 10 Pro,4.6,0.00916,True,CVE CVE-2025-47827 affects Windows 10 Pro. EPSS score 0.0092 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-30400,Windows Server 2022,7.8,0.00907,True,CVE CVE-2025-30400 affects Windows Server 2022. EPSS score 0.0091 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-30400,Windows 10 Pro,7.8,0.00907,True,CVE CVE-2025-30400 affects Windows 10 Pro. EPSS score 0.0091 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-32709,Windows Server 2022,7.8,0.0076,True,CVE CVE-2025-32709 affects Windows Server 2022. EPSS score 0.0076 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-32709,Windows 10 Pro,7.8,0.0076,True,CVE CVE-2025-32709 affects Windows 10 Pro. EPSS score 0.0076 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38106,Windows Server 2022,7.0,0.0075,True,CVE CVE-2024-38106 affects Windows Server 2022. EPSS score 0.0075 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38106,Windows 10 Pro,7.0,0.0075,True,CVE CVE-2024-38106 affects Windows 10 Pro. EPSS score 0.0075 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-10585,Google Chrome,9.8,0.007,True,CVE CVE-2025-10585 affects Google Chrome. EPSS score 0.0070 indicates low exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
